Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
180,NCT00153985,Allogeneic Stem Cell Transplantation Following Chemotherapy in Patients With Hemoglobinopathies,Completed,Has Results,Hemoglobinopathies|Sickle Cell Disease|Thalassemia,Drug: Busulfex|Drug: Fludarabine|Drug: Alemtuzumab|Procedure: Stem Cell Transfusion,Dana-Farber Cancer Institute|Beth Israel Deaconess Medical Center|Massachusetts General Hospital|Brigham and Women's Hospital|Emory University|Feist-Weiller Cancer Center at Louisiana State University Health Sciences|Ohio State University,All,"18 Years and older Â  (Adult, Senior)",Phase 2,2,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,03-338,8-Sep-05,3/1/04,7/1/09,24-Jul-13,Jul-13,5-Dec-12,null,Mar-08,Stable Engraftment With Donor Stem Cells in Patients With Severe Hemoglobinopathy.|Solid Organ Toxicity Related to the Conditioning Regimen.|The Incidence of Grade II-IV Acute Graft vs. Host Disease.,https://ClinicalTrials.gov/show/NCT00153985
103,NCT00143065,"Fludarabine, Rituximab, and Alemtuzumab for B-Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma",Completed,No Results Available,"Lymphoma, Small Lymphocytic|Lymphocytic Leukemia, Chronic",Drug: Fludarabine|Drug: Rituximab|Drug: Alemtuzumab,Ohio State University Comprehensive Cancer Center,All,"18 Years and older Â  (Adult, Senior)",Phase 2,8,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,OSU-0404,31-Aug-05,8/1/05,7/1/09,6-Feb-17,Feb-17,No Study Results Posted,null,Feb-07,"Assess the rate of complete (CR) and overall response (ORR) using fludarabine, rituximab, and alemtuzumab|Assess toxicity of this regimen.",https://ClinicalTrials.gov/show/NCT00143065
124,NCT00274976,Alemtuzumab in Treating Patients With Advanced Chronic Lymphocytic Leukemia That Did Not Respond to Previous Fludarabine,Completed,No Results Available,Leukemia,Biological: alemtuzumab,German CLL Study Group|National Cancer Institute (NCI),All,18 Years to 65 Years Â  (Adult),Phase 2,null,Other,Interventional,Masking: Open Label|Primary Purpose: Treatment,CDR0000455059|GCLLSG-CLL2H|EU-20550|MEDAC-GCLLSG-CLL2H|AMGEN-GCLLSG-CLL2H,10-Jan-06,9/1/02,8/1/09,5-Nov-13,May-06,No Study Results Posted,null,null,Safety and efficacy|Response,https://ClinicalTrials.gov/show/NCT00274976
48,NCT00441025,The Effectiveness of Alemtuzumab Combination With CHOP to Treat Patients Newly Diagnosed With PTCL,Terminated,No Results Available,Peripheral T-Cell Lymphoma,Drug: Alemtuzumab,Mahidol University|Bayer,All,"15 Years to 65 Years Â  (Child, Adult)",Phase 2,4,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,TH 011002,26-Feb-07,9/1/06,8/1/09,24-Jun-09,Feb-07,No Study Results Posted,null,null,"To determine the effectiveness of alemtuzumab given in combination with CHOP in terms of the rates of objective response rate (ORR:complete remission[CR] and|partial remission[PR]),progressive disease-free(PFS) and overall survivals(OS)|in patients newly diagnosed with PTCL.|To determine the safety profiles of alemtuzumab given in combination with CHOP",https://ClinicalTrials.gov/show/NCT00441025
149,NCT00590460,Antibody Conditioning Regimen For Allogeneic Donor Stem Cell Transplantation Of Patients With Fanconi Anemia,Terminated,Has Results,Fanconi Anemia|Severe Aplastic Anemia,Biological: CAMPATH-1H|Biological: Anti-CD45|Drug: Fludarabine|Procedure: Stem cell infusion,"Baylor College of Medicine|Texas Children's Hospital|The Methodist Hospital System|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"Child, Adult, Senior",Phase 1|Phase 2,5,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H-9938,26-Dec-07,7/1/01,9/1/09,21-Nov-13,Nov-13,2-Jul-12,Mafia,Sep-09,"Number of Patients With Donor Engraftment|Number of Patients With Graft Failure|Number of Patients With Treated Related Death|Days to Absolute Neutrophil Count (ANC) of 500/mm3|Days to Platelet Count of 20,000/mm3 Without Transfusions|Number of Patients With Grade II - IV Acute Graft Versus Host Disease (GVHD)|Number of Patients Alive at 1 Year Post Transplant|Number of Patients With Limited Chronic GVHD From Day 100 to 365|Number of Patients With Extensive Chronic GVHD From Day 100 to 365|Number of Patients With Grade III - IV Acute GVHD",https://ClinicalTrials.gov/show/NCT00590460
306,NCT00057005,Anti-Human CD45 Monoclonal Antibodies in Patients With Advanced Leukemia Prior to Allogeneic Stem Cell Transplantation,Completed,No Results Available,Leukemia,Drug: CAMPATH-1H|Drug: Anti-CD45|Drug: Ara-C|Drug: Cyclophosphamide|Drug: Mesna|Radiation: Total Body Irradiation,"Baylor College of Medicine|The Methodist Hospital System|Texas Children's Hospital|Center for Cell and Gene Therapy, Baylor College of Medicine",All,"up to 45 Years Â  (Child, Adult)",Phase 1,24,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,H12870|ADVL,26-Mar-03,2/1/03,10/1/09,19-Jan-10,Nov-09,No Study Results Posted,ADVL,Oct-09,To evaluate the toxicity and the anti-tumor activity of anti-human CD45 antibodies (anti-CD45) administered to patients with relapsed/resistant leukemia prior to bone marrow transplantation.|To describe the effects of anti-CD45 on normal hematopoiesis and on complement levels and to describe the effects of anti-CD45 on leukemic blast cells.,https://ClinicalTrials.gov/show/NCT00057005
171,NCT00086775,Fludarabine Combined With Either Alemtuzumab or Rituximab in Treating Patients With Refractory or Relapsed B-Cell Chronic Lymphocytic Leukemia,Completed,No Results Available,Leukemia,Biological: alemtuzumab|Biological: rituximab|Drug: fludarabine phosphate,Bayer|National Cancer Institute (NCI),All,"18 Years and older Â  (Adult, Senior)",Phase 2,null,Industry,Interventional,Allocation: Randomized|Masking: Open Label|Primary Purpose: Treatment,BRLX-FLUCAM106|CDR0000365631|BRLX-STA1-03-058|OHSU-HEM-03050-P|DMS-F0334,8-Jul-04,7/1/03,10/1/09,1-Aug-13,Oct-09,No Study Results Posted,null,Jun-05,,https://ClinicalTrials.gov/show/NCT00086775
132,NCT00336206,Low Dose Alemtuzumab for Consolidation and Maintenance of Patients With B-Cell Chronic Lymphocytic Leukemia,Unknown status,No Results Available,B-Cell Chronic Lymphocytic Leukemia,Drug: Alemtuzumab,Tawam Hospital,All,"18 Years to 75 Years Â  (Adult, Senior)",,60,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,39338,12-Jun-06,7/1/06,10/1/09,21-Jul-06,Jun-06,No Study Results Posted,null,null,To determine the Time to Treatment Failure (TTF)|To evaluate Complete Remission (CR) rate.|To evaluate Partial Response (PR) rate.|Minimal Residual Disease (MRD) evaluated with flow-cytometry (â€œMRD flow panelâ€ù) in patients with CR|To determine Overall Response Rate (ORR).|To evaluate duration of response.|To evaluate safety,https://ClinicalTrials.gov/show/NCT00336206
148,NCT00579137,Allogeneic SCT Of Pts With SCID And Other Primary Immunodeficiency Disorders,Terminated,Has Results,Severe Combined Immunodeficiency Disease|Severe Primary Immunodeficiency Disorder|Undefined T Cell Deficiency Disorder|Wiskott-Aldrick Syndrome,Biological: Campath -1H|Drug: Fludarabine|Biological: Anti-CD45|Procedure: Stem cell infusion,"Baylor College of Medicine|Center for Cell and Gene Therapy, Baylor College of Medicine|Texas Children's Hospital",All,"Child, Adult, Senior",Phase 1|Phase 2,3,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,21123-MASCI,19-Dec-07,10/1/07,10/1/09,28-Jun-13,Jun-13,30-Mar-13,MASCI,Oct-09,Number of Patients With Donor Engraftment|Patients Alive at 1 Year|Number of Patients With Grade III or IV Toxicity|Number of Patients With Grade III to IV Acute GVHD,https://ClinicalTrials.gov/show/NCT00579137
46,NCT00505921,Autologous and Allogenic Transplantation With Campath-1H for T-Cell Lymphoma,Terminated,Has Results,Lymphoma,Drug: Campath-1H|Drug: G-CSF|Drug: GM-CSF|Drug: BCNU|Drug: Stem Cell Transplant|Drug: Preparative Regimen for Allogenic Stem Cell Transplantation|Drug: Cytarabine|Drug: Etoposide|Drug: Melphalan|Drug: Campath|Drug: Fludarabine|Drug: Cyclophosphamide|Radiation: Low dose total body irradiation,M.D. Anderson Cancer Center|Bayer,All,"up to 70 Years Â  (Child, Adult, Senior)",Phase 2,27,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic,ID02-645,20-Jul-07,3/1/03,11/1/09,8-Nov-11,Nov-11,30-Sep-11,null,Nov-09,Participant Progression Free Survival at 2 Years,https://ClinicalTrials.gov/show/NCT00505921
155,NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients,Completed,Has Results,Kidney Transplantation|Kidney Disease|Kidney Failure,Drug: Alemtuzumab|Drug: Mycophenolate mofetil|Drug: Sirolimus|Drug: Tacrolimus|Procedure: Donor bone marrow stem cell infusion|Procedure: Kidney transplant,University of Miami|Immune Tolerance Network (ITN),All,18 Years to 65 Years Â  (Adult),Phase 1|Phase 2,9,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Participant)|Primary Purpose: Treatment,DAIT ITN022ST,11-Sep-05,9/1/04,11/1/09,17-Sep-12,Sep-12,5-Apr-12,null,Nov-09,Overall Participant Survival at One Year Post Kidney Transplant|Overall Kidney Graft Survival at One Year Post-Transplant|Participant Survival at Three Years Post Kidney Transplant|Graft Survival at Three Years Post-Transplant|Number of Kidney Biopsy-proven Acute Rejection|Number of Chronic Allograft Nephropathies|Number of Graft-versus-host Disease (GVHD) Events,https://ClinicalTrials.gov/show/NCT00183248
57,NCT00240994,Safety in Immunomodulatory Functions of Alemtuzumab (Campath) in Pediatric Kidney Transplantation Recipients,Completed,Has Results,"Kidney Failure, Chronic|Kidney Transplantation|Immunosuppression",Drug: Alemtuzumab|Drug: Tacrolimus|Drug: Mycophenolate mofetil|Drug: Sirolimus,National Institute of Allergy and Infectious Diseases (NIAID)|Cooperative Clinical Trials in Pediatric Transplantation,All,"1 Year to 20 Years Â  (Child, Adult)",Phase 2,35,NIH|Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention,DAIT PC01,14-Oct-05,1/1/05,11/1/09,15-Nov-16,Nov-16,13-Sep-12,null,Nov-09,The Proportion of Participants With Graft Loss or Death Within 12 Months Post Kidney Transplantation,https://ClinicalTrials.gov/show/NCT00240994
6,NCT00587847,Campath Maintenance in Chronic Lymphocytic Leukemia,Terminated,Has Results,Chronic Lymphocytic Leukemia,Drug: Campath,Northwell Health|Bayer,All,"18 Years and older Â  (Adult, Senior)",,12,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,05.10.030|Berlex Study# 106.0621,21-Dec-07,8/1/05,11/1/09,16-Sep-15,Sep-15,29-May-13,null,Nov-09,Time to Progression (Months)|Rate of Infections,https://ClinicalTrials.gov/show/NCT00587847
168,NCT00278213,Combination Chemotherapy Followed By Alemtuzumab in Treating Patients With Chronic Lymphocytic Leukemia or Prolymphocytic Leukemia,Completed,No Results Available,Prolymphocytic Leukemia,Biological: alemtuzumab|Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: mitoxantrone hydrochloride,German CLL Study Group,All,"18 Years to 70 Years Â  (Adult, Senior)",Phase 2,17,Other,Interventional,Masking: Open Label|Primary Purpose: Treatment,T-PLL1|EU-20562,16-Jan-06,9/1/02,12/1/09,30-Sep-16,Sep-16,No Study Results Posted,null,Feb-07,Adverse effects at 2 months after treatment|Remission rate at 2 months after treatment|Overall survival at 2 months after treatment|Progression-free survival at 2 months after treatment|Remission quality at 2 months after treatment,https://ClinicalTrials.gov/show/NCT00278213
106,NCT00050778,"A Phase II Study Comparing Low- and High-Dose Alemtuzumab and High-Dose RebifÂ® in Patients With Early, Active Relapsing-Remitting Multiple Sclerosis",Completed,Has Results,"Multiple Sclerosis, Relapsing-Remitting",Biological: Interferon beta-1a|Biological: Alemtuzumab 12 mg|Biological: Alemtuzumab 24 mg,"Genzyme, a Sanofi Company|Bayer|Sanofi",All,18 Years to 50 Years Â  (Adult),Phase 2,334,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Treatment,CAMMS223,19-Dec-02,12/1/02,1/1/10,6-Jan-15,Jan-15,3-Nov-08,null,Sep-07,Probability of Participants With Sustained Accumulation of Disability (SAD)|Annualized Relapse Rate|Probability of Participants Who Were Relapse Free at 3 Years After Initial Treatment|Percent Change From Baseline in T1 Cerebral Volume at Year 3|Percent Change From Baseline in MRI T2 Lesion Volume at Year 3,https://ClinicalTrials.gov/show/NCT00050778
78,NCT00634881,Alemtuzumab in Treating Patients With B-Cell Chronic Lymphocytic Leukemia,Completed,No Results Available,Chronic Lymphocytic Leukemia,Biological: Alemtuzumab i.v.|Biological: Alemtuzumab s.c.,German CLL Study Group,All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,13,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CLL2i|CDR0000587746,12-Mar-08,11/1/03,1/1/10,22-Nov-16,Sep-16,No Study Results Posted,null,Jan-10,Dose-limiting toxicity|Maximum tolerated dose|Rate of complete minimal residual disease response|Rate of immunophenotypic remission using 4-color flow cytometry|Rate of infections (especially CMV infections and reactivations)|Rate of severe hematologic and non-hematologic side effects|Pharmacokinetics of alemtuzumab (after IV and subcutaneous administration)|Progression-free survival|Overall survival|Complete remission rate,https://ClinicalTrials.gov/show/NCT00634881
247,NCT00626626,Clofarabine and Non-Myeloablative Allogeneic Hematopoietic Transplantation,Terminated,No Results Available,Leukemia|Myelodysplastic Syndrome|Chronic Myelogenous Leukemia|Lymphoma|Hodgkin's Lymphoma|Multiple Myeloma,Drug: Dose Level I|Drug: Dose Level 2,Milton S. Hershey Medical Center,All,"18 Years to 75 Years Â  (Adult, Senior)",Phase 1|Phase 2,10,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,25223|PSU25223,20-Feb-08,5/1/07,1/1/10,8-Jan-13,Jan-13,No Study Results Posted,null,Jan-10,Establish the safety of Clofarabine and cyclophosphamide preceding allogeneic hematopoietic engraftment. Assess the efficacy of Clofarabine and cyclophosphamide as conditioning for promoting allogeneic hematopoietic engraftment.|Observe disease free and overall survivals in acute leukemia and lymphoma patients receiving allogeneic hematopoietic transplant after Clofarabine and cyclophosphamide conditioning.,https://ClinicalTrials.gov/show/NCT00626626
47,NCT00004857,Fludarabine Followed by Alemtuzumab in Treating Patients With Chronic Lymphocytic Leukemia,Completed,No Results Available,Leukemia,Biological: alemtuzumab|Drug: fludarabine phosphate,Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older Â  (Adult, Senior)",Phase 2,86,Other|NIH,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,CALGB-19901|U10CA031946|CDR0000067506,7-Mar-00,1/1/00,2/1/10,1-Jul-16,Jul-16,No Study Results Posted,null,Mar-03,Response|Toxicity,https://ClinicalTrials.gov/show/NCT00004857
172,NCT00078559,Combination Immunosuppressive Therapy to Prevent Kidney Transplant Rejection in Adults,Completed,Has Results,Kidney Transplantation|Kidney Disease,"Drug: Alemtuzumab|Drug: Sirolimus|Drug: Tacrolimus|Procedure: Kidney transplant|Drug: Methylprednisolone (or equivalent)|Drug: Acetaminophen|Drug: Diphenhydramine|Drug: Trimethoprim (TMP)/Sulfa (Bactrim, Septra)|Drug: Valgancyclovir|Drug: Acyclovir|Drug: Pentamidine|Drug: Clotrimazole|Drug: Nystatin","University of Wisconsin, Madison|Immune Tolerance Network (ITN)",All,18 Years to 65 Years Â  (Adult),Phase 1|Phase 2,10,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,DAIT ITN013ST,1-Mar-04,11/1/03,2/1/10,25-Jul-12,Jul-12,13-Apr-12,null,Feb-10,"Number of Acute Rejections in All Enrolled Participants|Number of Acute Rejections in All Enrolled Participants Following Sirolimus Withdrawal|Number of Acute Rejections Between Initiation of Sirolimus Withdrawal and End of Study|Time From Transplantation to Acute Rejection in Participants for Whom Sirolimus Withdrawal Was Not Initiated|Time From Transplantation to Acute Rejection in Participants for Whom Acute Rejection Occurred During the 1 Year Post-transplant Period|Number of Deaths Stratified by Sirolimus Withdrawal Status|Number of Participants Who Experienced Graft Loss Stratified by Sirolimus Withdrawal Status|Number of Severe Acute Rejections Stratified by Sirolimus Withdrawal Status|Number of Participants Requiring Anti-lymphocyte Therapy for an Acute Rejection, Stratified by Sirolimus Withdrawal Status|Number of Alemtuzumab Associated Adverse Events, Stratified by Sirolimus Withdrawal Status|Number of Tacrolimus Associated Adverse Events, Stratified by Sirolimus Withdrawal Status|Number of Sirolimus Associated Adverse Events, Stratified by Sirolimus Withdrawal Status|Number of Side Effects of Conventional Immunosuppression, Stratified by Withdrawal Status|Change in Renal Function as Measured by Serum Creatinine, Stratified by Withdrawal Status",https://ClinicalTrials.gov/show/NCT00078559
259,NCT00668564,Hematopoietic Stem Cell Transplantation (HCT) for Inborn Errors of Metabolism,Terminated,Has Results,"Hurler's Syndrome|Maroteaux-Lamy Syndrome|Sly Syndrome|Alpha Mannosidosis|Fucosidosis|Aspartylglucosaminuria|Sphingolipidoses|Krabbe Disease|Wolman's Disease|Niemann-Pick Disease Type B|Niemann-Pick Disease, Type C",Procedure: Stem Cell Transplantation|Drug: Cyclophosphamide|Drug: Campath-1H|Drug: Busulfan,"Masonic Cancer Center, University of Minnesota",All,"up to 21 Years Â  (Child, Adult)",Phase 2,18,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,MT2008-02|0801M25202,25-Apr-08,3/1/08,2/1/10,6-Nov-12,Nov-12,14-Jun-11,null,Feb-10,Number of Patients Achieving Engraftment|Overall Survival,https://ClinicalTrials.gov/show/NCT00668564
50,NCT00453193,Alemtuzumab and Pentostatin In T-cell Neoplasms,Terminated,Has Results,Lymphoma|Leukemia,Drug: Pentostatin|Drug: Alemtuzumab,M.D. Anderson Cancer Center|Astex Pharmaceuticals|Bayer,All,"18 Years and older Â  (Adult, Senior)",Phase 2,26,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,2004-0408,26-Mar-07,9/1/04,3/1/10,1-Aug-12,Aug-12,1-Mar-11,null,Mar-10,Number of Participants With Objective Response,https://ClinicalTrials.gov/show/NCT00453193
8,NCT00309270,Low Dose Sirolimus or CsA-Based Maintenance Immunosuppression After Induction With Campath-1 in Kidney Transplantation,Completed,No Results Available,Kidney Transplant,Drug: Campath-1H,Mario Negri Institute for Pharmacological Research,All,"18 Years to 75 Years Â  (Adult, Senior)",Phase 2,21,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CAMPATH,30-Mar-06,2/1/03,4/1/10,18-May-06,Mar-06,No Study Results Posted,null,null,Time course of immunophenotyping and lymphocyte function assays in the two groups of kidney transplant recipients randomized to low-dose sirolimus or CsA- based maintenance immunosuppression after Campath-1H induction therapy|Graft function and survival|Safety of induction therapy with Campath-1H and low-dose maintenance immunosuppressive regimen,https://ClinicalTrials.gov/show/NCT00309270
143,NCT00166712,A Trial of Two Steroid-Free Approaches Toward Mycophenolate Mofetil-Based Monotherapy Immunosuppression,Terminated,Has Results,Kidney Transplant Failure and Rejection,Drug: Tacrolimus (TAC)|Drug: Sirolimus|Drug: Alemtuzumab|Drug: Mycophenolate mofetil (MMF),Northwestern University|Roche Pharma AG,All,18 Years to 65 Years Â  (Adult),Phase 4,40,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,STU8789 0811-007|CNV0042139,9-Sep-05,4/1/05,4/1/10,20-Oct-15,Oct-15,29-Nov-12,Cell220,Apr-10,The Incidence of Biopsy-proven Acute Allograft Rejection During the First 12 Months of Transplant.|Severity of Acute Rejection During the First 6 and 12 Months Post-transplant|Renal Function at 12 Months Post-transplant|Incidence of Donor Specific Hyporesponsiveness Allowing for the Conversion to Monotherapy|Patient and Graft Survival Rates at 6 and 12 Months Post-transplant,https://ClinicalTrials.gov/show/NCT00166712
176,NCT01172418,Randomized Trial of 2 Antibody Induction Steroid Avoidance Protocols,Completed,Has Results,"Transplant; Failure, Kidney",Drug: Alemtuzumab/Thymoglobulin|Drug: Daclizumab/Thymoglobulin,University of Miami,null,"18 Years and older Â  (Adult, Senior)",Phase 4,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention,IRB #20057672,10-Jun-10,2/1/06,5/1/10,24-May-16,May-16,1-Aug-14,null,May-10,Incidence of Acute Rejection at One Year Post-transplant|Graft Survival|Patient Survival,https://ClinicalTrials.gov/show/NCT01172418
94,NCT00086580,"Fludarabine (FludaraÂ®) Plus Alemtuzumab (CAMPATHÂ®, MabCampathÂ®) vs Fludarabine Alone in B-Cell Chronic Lymphocytic Leukemia (B-CLL) Patients",Completed,Has Results,B-Cell Chronic Lymphocytic Leukemia,Biological: FluCAM [Fludara + Campath]|Biological: fludarabine phosphate,"Genzyme, a Sanofi Company|Sanofi",All,"18 Years and older Â  (Adult, Senior)",Phase 3,335,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CAM314|2004-000149-39,6-Jul-04,7/1/04,6/1/10,10-Feb-14,Feb-14,13-Jun-11,null,Jun-10,Kaplan-Meier Estimates for Progression-free Survival (PFS) Based on Independent Response Review Panel (IRRP) Assessment|Participant Best Response to Treatment Assessed by the Independent Response Review Panel (IRRP)|Kaplan-Meier Estimates of Overall Survival Time|Kaplan Meier Estimates for Time to Disease Progression Assessed by the Independent Response Review Panel (IRRP)|Kaplan-Meier Estimates for Duration of Response Assessed by the Independent Response Review Panel (IRRP)|Kaplan-Meier Estimates for Time to Alternative Therapy|Mean EQ-5Dâ„¢ Index Scores to Measure Quality of Life at Baseline|Mean EQ-5Dâ„¢ Index Scores to Measure Quality of Life at End of Treatment|Mean EuroQol Visual Analogue Scale (EQ-VAS) Scores to Measure Quality of Life at Baseline|Mean EuroQol Visual Analogue Scale (EQ-VAS) Scores to Measure Quality of Life at End of Treatment|Summary of Participants With Adverse Experiences (AEs)|Mean Systemic Clearance (CL) of Fludarabine|Total Volume of Distribution (Vss) of Fludarabine|Area Under the Curve (AUC) of Fludarabine From (AUC 0-tau)|Maximum Plasma Concentration (Cmax) of Fludarabine|Participants With Minimal Residual Disease (MRD),https://ClinicalTrials.gov/show/NCT00086580
289,NCT00829647,A Study Using Two Oral Chemotherapy Agents for Chronic Lymphocytic Leukemia,Unknown status,No Results Available,Chronic Lymphocytic Leukemia|Leukemia,Drug: dasatinib and lenalidomide,Scripps Health|Bristol-Myers Squibb|Celgene Corporation,All,"18 Years and older Â  (Adult, Senior)",Phase 1|Phase 2,30,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,SCLL084993,23-Jan-09,1/1/09,6/1/10,13-Oct-09,Oct-09,No Study Results Posted,null,Jan-10,"Safety and maximum tolerated dose (phase I) and overall response rate (phase II)|Assess responses in subgroups of high-risk patients, including 17p- and 11q- deletion, and CD38 and ZAP-70 positive expression",https://ClinicalTrials.gov/show/NCT00829647
252,NCT00281983,Fludarabine and Cyclophosphamide in Treating Patients Who Are Undergoing Donor Stem Cell Transplant for Chronic Lymphocytic Leukemia or Waldenstrom's Macroglobulinemia,Completed,No Results Available,Chronic Lymphocytic Leukemia,Biological: alemtuzumab|Biological: anti-thymocyte globulin|Biological: filgrastim|Biological: rituximab|Biological: therapeutic allogeneic lymphocytes|Drug: busulfan|Drug: cyclophosphamide|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: methotrexate|Drug: mycophenolate mofetil|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy,German CLL Study Group,All,18 Years to 65 Years Â  (Adult),Phase 1|Phase 2,100,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,CLL3X|EU-20554|MEDAC-FLUD.10/CLL,24-Jan-06,6/1/00,7/1/10,23-Feb-17,Apr-07,No Study Results Posted,null,null,Feasibility as measured by the proportion of eligible patients completing the transplant procedure successfully|Safety as measured by a treatment-related mortality of < 25% at 2 years following transplant|Clinical remission rate by NIH criteria at 12 months following transplant|Minimal residual disease negativity rate as measured by high-resolution flow or CDR PCR at 12 months following transplant|Chimerism as measured by STR-PCR at 12 months following transplant|Event-free and overall survival at 5 years following transplant,https://ClinicalTrials.gov/show/NCT00281983
7,NCT00800943,Study of Subcutaneous Campath-1H in Patients With B-Cell CLL and Residual Disease After Chemotherapy,Unknown status,No Results Available,B-Cell Chronic Lymphocytic Leukemia,Biological: Alemtuzumab (Campath-1H),Chronic Lymphocytic Leukemia Research Consortium|Bayer,All,"18 Years and older Â  (Adult, Senior)",Phase 2,31,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,CRC005,1-Dec-08,12/1/03,8/1/10,2-Dec-08,Dec-08,No Study Results Posted,CRC005,Aug-10,To evaluate whether CAMPATH-1H given to patients with CLL after maximum response to chemotherapy will: a) eliminate residual disease (documented by flow cytometry) or b) convert partial remission to complete remission|To evaluate the time-to-progression of patients according to pretreatment characteristics and response status at study entry.|To evaluate whether CAMPATH-1H given to patients with CLL after maximum response to chemotherapy will eliminate minimal residual disease as determined by real-time quantitative PCR.,https://ClinicalTrials.gov/show/NCT00800943
74,NCT00749112,Alemtuzumab and Rituximab in the Treatment of Refractory Autoimmune Cytopenias,Completed,No Results Available,"Idiopathic Thrombocytopenic Purpura|Anemia, Hemolytic, Autoimmune","Drug: Alemtuzumab, Rituximab",Hospital Universitario Dr. Jose E. Gonzalez,All,"16 Years and older Â  (Child, Adult, Senior)",Phase 2|Phase 3,19,Other,Interventional,Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,HE08-004,8-Sep-08,8/1/08,8/1/10,27-Aug-10,Aug-10,No Study Results Posted,null,Aug-10,"Objective response rate (CR: complete remission, PR: partial remission, relapse rate.",https://ClinicalTrials.gov/show/NCT00749112
69,NCT00038844,Safety and Efficacy of Campath in Nonmyeloablative Transplantation,Completed,No Results Available,Lymphoma|Leukemia,Drug: Campath-1 H (Alemtuzumab)|Drug: Fludarabine|Drug: Cyclophosphamide|Drug: Rituximab,M.D. Anderson Cancer Center,All,"up to 70 Years Â  (Child, Adult, Senior)",,65,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ID01-200,5-Jun-02,6/1/01,9/1/10,31-Oct-11,Oct-11,No Study Results Posted,null,Dec-07,Number of Participants Surviving 100 days post-transplant,https://ClinicalTrials.gov/show/NCT00038844
